År,Komponist,Verk,Dirigent,Sted,Mer Info
2002-06,Verdi,Nabucco: Slavekoret,"Lubbock, John",Stavanger Konserthus,https://drive.google.com/open?id=1qx5PTZmGfbS_EFl9Prj0cAn6-mlqig4h
2002-03,Brahms,Ein Deutsches Requiem,"Weil, Bruno","Stavanger Konserthus, Sandnes Kulturhus",https://drive.google.com/open?id=13W41WeIvRMeTMOr-rsJ9h2ZGpt84HdjK
2001-12,Diverse,Juleprogram,"Gustavsson, Johannes",Stavanger Konserthus,https://drive.google.com/open?id=186ITV4oF7IPfsy7WmP0lxQvkaUpckidg
2001-12,Händel,Messias,"King, Robert",Stavanger Domkirke,https://drive.google.com/open?id=1k8CzcNF_1wauoSQuN3ZAcGjQbMUahCFm
2001-11,Mozart,Messe i c-moll,"Herreweghe, Philippe","Stavanger Konserthus, Bakkebø kirke",https://drive.google.com/open?id=1EXnX0304N7UBT6JlovLaMkS5pvQPxo2x
2001-05,Schönberg,A survivor from Warsaw,"Gupta, Rolf",Kristiansand,https://drive.google.com/open?id=18ZeT7zHuf-bxf-AbDuFzvibdI3r_TXhb
2001-04,Vaughan Williams,A Sea Symfoni,"Cohen, Denis",Stavanger Konserthus,https://drive.google.com/open?id=1BWOBmBUYEBtyJwk-4Nly1IO-2Cartfi6
2000-12,"Bach, J. S.",Juleoratoriet 1-3,"Manze, Andrew",Stavanger Domkirke,https://drive.google.com/open?id=1khGxPRYr8B8B8-Zwhiipg4qrui0LWYUn
2000-10,"Bach, J. S.",Messe i h-moll,"Johnsen, Odd Sveinung",Stavanger Domkirke,https://drive.google.com/open?id=1OQLZe9b1a0s5TJ--U5t2WCVaZQdlvs2A
2000-04,"Bach, J. S.",Magnificat,"Christophers, Harry",St. Petri kirke,https://drive.google.com/open?id=1zHpSm5Kc6_v3Czm-BQXgY3-LB4n6pvkx
2000-03,"Bach, J. S.",Singet dem Herrn ein neues Lied,"Johnsen, Odd Sveinung",Stavanger Domkirke,https://drive.google.com/open?id=1uIdC6yh-3QEyAefHmwDb3bDfNDtZs3Zl
2000-02,Schönberg,A survivor from Warsaw,"Weil, Bruno",Stavanger Konserthus,https://drive.google.com/open?id=1rnDbFVDzX3Ge28Tvz9xhwCDxrcmFo3h0
2000-02,Beethoven,Symfoni nr. 9,"Weil, Bruno",Stavanger Konserthus,https://drive.google.com/open?id=1rnDbFVDzX3Ge28Tvz9xhwCDxrcmFo3h0
1999-12,Händel,Messias,"Manze, Andrew",Stavanger Domkirke,https://drive.google.com/open?id=18tuG40cIyGJAXG3VMmuxnHCl9tt_HrNu
1999-11,Schubert,Messe i Ess-dur,"Weil, Bruno",Stavanger Konserthus,https://drive.google.com/open?id=1qJsPK2Y-W11qIjaZeZ6mmm-kQ9YHuaC0
1999-04,Haydn,Skapelsen,"Goodman, Roy",St. Johannes kirke,https://drive.google.com/open?id=1L43v9l1kpEXPgoVF3xHmoNn06zQbOGBL
1998-12,Diverse,Juleprogram,"Szilvay, Peter",Stavanger Konserthus,https://drive.google.com/open?id=1S-zkmrwM_2GVBVz781gaEwnh2gXauSZe
1998-12,"Bach, J. S.",Juleoratoriet 1-3,"Vermeulen, Dirk",St. Johannes kirke,https://drive.google.com/open?id=15vRZ7pklNYygR4caF20AUsSQ7lZFjXB2
1998-10,Verdi,Requiem,"Remmereit, Arild",Stavanger Konserthus,https://drive.google.com/open?id=1gd3l8LRJe9UW6lcmAm3PGqP9KMUjzoJ-
1998-09,Bach/ Stravinsky,Vom Himmel Hoch,"Goodman, Roy",Stavanger Konserthus,https://drive.google.com/open?id=16TqSuAdygYHCGmVZlNxdkDUEDnkgAM6e
1998-06,Borodin,Fyrst Igor: Polovetsiske danser,"Dmitriev, Alexander",Stavanger Konserthus,https://drive.google.com/open?id=1r7qZ-P9HB8N_pB7YKbETRiMVE21fHtDd
1998-04,Fauré,Requiem,"Remmereit, Arild",Stavanger Domkirke,https://drive.google.com/open?id=16AeWYqMKUBWCT_OtXZpn2-_DmEsVgQfh
1998-01,Holst,Planetene,"Ruud, Ole Kristian",Stavanger Konserthus,https://drive.google.com/open?id=1Aq-QZ3dfFU3i-DMGlKOg0QfSPlZhBlo-
1997-12,Händel,Messias,"Johnsen, Odd Sveinung",Stavanger Domkirke,https://drive.google.com/open?id=18_H1-gQGYf1yeSxXVgc3V8pTSQ1usZNS
1997-11,Brahms,Altrapsodi for mannskor,"Koivula, Hannu",Stavanger Konserthus,https://drive.google.com/open?id=10AaxgA0PLU9DIysnlG9UfXpNlKJYKqG8
1997-10,Mendelssohn,Lobgesang Symphonie,"Weil, Bruno",Stavanger Konserthus,https://drive.google.com/open?id=1z881w8-kDC9FxMvH1nj8MV0bnsd6MET4
