År,Komponist,Verk,Dirigent,Sted,Mer Info
2017-01,Diverse,Orgelets Ønskekonsert,"Ustyantseva, Kateryna",Stavanger Konserthus,https://drive.google.com/open?id=16iMP-2-Q9NuuNLuEDMTkfRfitsLgxW_v
2016-12,Diverse,Julekonsert,"Korsgård, Trond",Stavanger Konserthus,https://drive.google.com/open?id=1yt3i1K87m0o42Zl4AJfvksW5Q1S_BNN2
2016-12,"Bach, J. S.",Juleoratoriet 1-3,"Stutzmann, Nathalie",Stavanger Konserthus,https://drive.google.com/open?id=1_UA8JGxh_9eb5ghf8Ro_dFsP4x0uCiLf
2016-11,Mendelssohn,En midtsommernattsdrøm,Ottavio Dantone,Stavanger Konserthus,https://drive.google.com/open?id=1Y3-J2ip37IflVwlaJyDjidC19NgbkN0s
2016-10,"Bruckner, Anton",Messe nr 2 i e-moll,"Ward, Duncan",Stavanger Konserthus,https://drive.google.com/open?id=1zuWQ1MwVnl9sl4RVerofAeeXFJk74kBe
2016-10,"Badelt, Klaus",Pirates of the Caribbean (filmkonsert),"Davies, Nick",Stavanger Konserthus,https://drive.google.com/open?id=1poYkTcqc_vOOpgV36JATbp58XFikcpzi
2016-05,Vivaldi,Gloria,"Biondi, Fabio",Stavanger Konserthus,
2016-03,Diverse,"A capella med tema ""vår""",Ragnar Bohlin,St. Petri kirke,https://drive.google.com/open?id=1qWM6dqXh8WRHsQHynZtxVmAcIPfwxYLy
2016-01,Diverse,Orgelets Ønskekonsert,"Ustyantseva, Kateryna",Stavanger Konserthus,https://drive.google.com/open?id=1a6JrZ_4w5y70fNGjMX5uTqf2LG8_ucDF
2015-12,Händel,Messias,"Eike, Bjarte",Stavanger Konserthus,https://drive.google.com/open?id=1CMl9N6G4-qGzXIqe9o3NgI77-Ov5OlOe
2015-11,"Williams, Vaughan",Symfoni nr 7,"Farnes, Richard",Stavanger Konserthus,https://drive.google.com/open?id=1e-bXqZ0YEpd6HsFW-BmJ1ptnreBGn9iU
2015-11,Bellini,I Capuleti e i Montecchi,"Biondi, Fabio",Stavanger Konserthus,https://drive.google.com/open?id=1Y8obZkcOsDwRBEd45d-jBg5usB3C5LAY
2015-05,"Horner, James",Avatar,"Horner, James",Stavanger Konserthus,https://drive.google.com/open?id=1ryAndhFcE0i7AuUJb0eo_5EWulutovtg
2015-04,Beethoven,Symfoni nr. 9,"Gupta, Rolf",Stavanger Konserthus,https://drive.google.com/open?id=1BPKMexfdPoKRqfzoaRv3tnk_8GrEtqoO
2015-02,Diverse,Orgelets Ønskekonsert,"Ustyantseva, Kateryna",Stavanger Konserthus,https://drive.google.com/open?id=1SX84utWoQJlJ2hEKMusy-iThOFrVW_Y4
2014-12,"Bach, J. S.",Juleoratoriet 1-3,"Butt, John",St. Petri kirke,https://drive.google.com/open?id=1h-TnRz1eg_A4vkkZLlLscvx5YnheIWXf
2014-10,Poulenc,Gloria,"Bohlin, Ragnar",Stavanger Konserthus,https://drive.google.com/open?id=1jc4LkbesPzgehKSNyoy_AFjUrO6ylu_B
2014-10,Pärt,Bogoroditse Djevo,"Bohlin, Ragnar",Stavanger Konserthus,https://drive.google.com/open?id=1jc4LkbesPzgehKSNyoy_AFjUrO6ylu_B
2014-10,Bach / Nystedt,"Komm, süsser Tod","Bohlin, Ragnar",Stavanger Konserthus,https://drive.google.com/open?id=1jc4LkbesPzgehKSNyoy_AFjUrO6ylu_B
2014-10,Vaughan Williams,Serenade to Music,"Bohlin, Ragnar",Stavanger Konserthus,https://drive.google.com/open?id=1jc4LkbesPzgehKSNyoy_AFjUrO6ylu_B
2014-03,Brahms,Ein Deutsches Requiem,"Jurowski, Michail",Stavanger Konserthus,https://drive.google.com/open?id=1QMfTN5ua7y_O2_C5lj-kvzQXFAlhWxG6
2014-02,Diverse,Orgelets Ønskekonsert,"Ustyantseva, Kateryna",Stavanger Konserthus,https://drive.google.com/open?id=11rkKAISv4WDg7SEy8pO-Wk5DmUoIY1CT
2013-12,Händel,Messias,"Esandi, José Miguel",St. Petri kirke,https://drive.google.com/open?id=1bWg9HQ8pNlCrISPM0-RFhm9Vfkiz6kG4
2013-10,Orff,Carmina Burana,"Vasquez, Christian",Stavanger Konserthus,https://drive.google.com/open?id=190nXHCRHAlLAtfUUtX5qocJDXFz_3jIy
2013-08,Mahler,Symfoni nr. 2,"Vasquez, Christian",Stavanger Konserthus,https://drive.google.com/open?id=1UcOz1103yJ7wDzJTuh1k3oXZ_85qbES4
2013-03,Schubert,Liten messe i G-dur,"Storgårds, John",Stavanger Konserthus,https://drive.google.com/open?id=15jcJMR1jJgQJ_Vt_tyjxki6ZtlrFkGVo
2012-12,"Bach, J. S.",Juleoratoriet 1-3,"Pichon, Raphael",St. Petri kirke,https://drive.google.com/open?id=16Nq5Epjo1kQ88TIMmG2fa-88MC-op6IZ
2012-10,Verdi,Requiem,"Sloane, Steven",Stavanger Konserthus,https://drive.google.com/open?id=1U3lo-QFY-CvMogFxzckWff4BaK36_uw1
2012-09,Mozart,Tryllefløyten - åpningsgalla for nytt konserthus,"Biondi, Fabio",Stavanger Konserthus,https://drive.google.com/open?id=1KW7GW2h8dXsfX7Nr9H4usfEDVDtFOYVH
2012-03,Mozart,Requiem,"Parkman, Stefan",St. Petri kirke,https://drive.google.com/open?id=1Xl5J1sCt53aIJXVrnpZ2NVokBYTyr8b2
2011-12,Diverse,Juleprogram,"Korsgård, Trond",St. Petri kirke,https://drive.google.com/open?id=1TG8quyt7l0gDsfeTUk_1oNSnEKih5JdJ
2011-12,Händel,Messias,"Sjökvist, Gustaf",St. Petri kirke,https://drive.google.com/open?id=1565L7Z6msV2PyLJAJDN89YsC7UH617WX
2011-11,Meyer,Symfoni nr. 8 - Sinfonia da Requiem,"Jurowski, Michail",Stavanger Konserthus,https://drive.google.com/open?id=1mGtpCQXP-zQ3brupvdzigumf8KctheC2
2011-03,Gershwin,Porgy and Bess (kortversjon),"Sloane, Steven",Stavanger Konserthus,https://drive.google.com/open?id=1Tp3X3ApPVWvBhgnKrzDFove8vAoLkBuX
2011-01,Verdi,Maskeballet,"Boye-Hansen, T.","Festiviteten, Haugesund",https://drive.google.com/open?id=1pu8kOTq6KvbsECmhbE_YPrQRib3LVBcD
2010-12,Diverse,Juleprogram,"Skaldstad, Per Kristian",St. Petri kirke,https://drive.google.com/open?id=1aSIZo4puZQNmSQK0aIfQ_HiVzQ9Zgjnp
2010-12,"Bach, J. S.",Juleoratoriet 1-3,"Curnyn, Christian",Stavanger Domkirke,https://drive.google.com/open?id=11flri2Y3CKqHobFG_040iKHa74mB_-_T
2010-11,Brahms,Nänie,"Weil, Bruno",Stavanger Konserthus,https://drive.google.com/open?id=1NVUWilMqPpEjzysWX6yphdNg5PhSL-F_
2010-11,Brahms,Schicksalslied,"Weil, Bruno",Stavanger Konserthus,https://drive.google.com/open?id=1NVUWilMqPpEjzysWX6yphdNg5PhSL-F_
2010-11,Brahms,Alt Rhapsodie,"Weil, Bruno",Stavanger Konserthus,https://drive.google.com/open?id=1NVUWilMqPpEjzysWX6yphdNg5PhSL-F_
2010-11,Brahms,Gesang der Parzen,"Weil, Bruno",Stavanger Konserthus,https://drive.google.com/open?id=1NVUWilMqPpEjzysWX6yphdNg5PhSL-F_
2010-03,Mozart,Requiem,"Dijkstra, Peter",St. Petri kirke,https://drive.google.com/open?id=1KMLcUJqVPFnPqrtS_CyYLF5Y0xXT0T5f
,,,,,
2009-12,Diverse,Juleprogram,"Skaldstad, Per Kristian",St. Petri kirke,https://drive.google.com/open?id=1DW1XoB3mwMYorR8SpFUW0o_KWnqcIp_N
2009-12,Händel,Messias,"Curnyn, Christian",Stavanger Domkirke,https://drive.google.com/open?id=1rYtWsVzKGWx81bzIAjUOMCSaPi7dKvsC
2009-10,Debussy,La Damoiselle Èlue,"Michelangeli, U. B.",Stavanger Konserthus,https://drive.google.com/open?id=1aQmt31AigEyiEyIPDvoZvlQGGIaMLf26
2009-09,Diverse,Acappella program,"Ustyantseva, Kateryna",Stavanger Domkirke,https://drive.google.com/open?id=1ARNQIcmTWdmWlqJtjfjoMALG0n58mbww
2009-04,Orff,Carmina Burana,"Solyom, Stefan",Stavanger Konserthus,https://drive.google.com/open?id=1tTcVDH602n-Xzquipn4xXbCXrcIgB4Cr
2008-10,Beethoven,Symfoni nr. 9,"Brüggen, Frans",Stavanger Konserthus,https://drive.google.com/open?id=16SM-0F-5kQ9HBVpcqW5wdqp3EuGlhX9Z
2008-05,"Berge, Håkon",Byterminalen,"Sloane, Steven",Byterminalen,https://drive.google.com/open?id=1EYcIc-mhBEhw0bkuv_KeVAIjfMPYKH4E
2008-05,Wagner,Tristan og Isolde (herrest.),"Sloane, Steven",Stavanger Konserthus,https://drive.google.com/open?id=1j-qUMJdNGC8R3yJImh-DMM8r6JkXhPlq
